-1	15	0	0
-1	15	1	0
-1	15	2	0
-1	15	3	0
-1	15	4	0
-1	15	5	0
-1	15	6	0
-1	15	7	0
-1	15	8	0
-1	15	9	0
-1	15	10	0
-1	15	11	0
-1	15	12	0
9	15	13	90
-1	15	14	0
-1	15	15	0
-1	14	0	0
-1	14	1	0
-1	14	2	0
-1	14	3	0
-1	14	4	0
-1	14	5	0
-1	14	6	0
-1	14	7	0
-1	14	8	0
-1	14	9	0
-1	14	10	0
-1	14	11	0
-1	14	12	0
-1	14	13	0
-1	14	14	0
-1	14	15	0
-1	13	0	0
-1	13	1	0
-1	13	2	0
14	13	3	90
14	13	4	180
10	13	5	180
-1	13	6	0
0	13	7	90
-1	13	8	0
-1	13	9	0
-1	13	10	0
-1	13	11	0
-1	13	12	0
7	13	13	90
-1	13	14	0
-1	13	15	0
-1	12	0	0
-1	12	1	0
0	12	2	0
5	12	3	90
8	12	4	270
14	12	5	270
-1	12	6	0
2	12	7	180
4	12	8	270
-1	12	9	0
4	12	10	0
-1	12	11	0
-1	12	12	0
9	12	13	180
-1	12	14	0
-1	12	15	0
-1	11	0	0
-1	11	1	0
-1	11	2	0
11	11	3	0
-1	11	4	0
-1	11	5	0
-1	11	6	0
12	11	7	90
2	11	8	90
-1	11	9	0
0	11	10	270
2	11	11	270
12	11	12	180
9	11	13	90
-1	11	14	0
-1	11	15	0
-1	10	0	0
-1	10	1	0
-1	10	2	0
15	10	3	180
10	10	4	180
14	10	5	270
-1	10	6	0
2	10	7	270
-1	10	8	0
11	10	9	270
7	10	10	180
4	10	11	90
-1	10	12	0
12	10	13	270
11	10	14	0
-1	10	15	0
-1	9	0	0
-1	9	1	0
-1	9	2	0
15	9	3	0
8	9	4	270
4	9	5	270
-1	9	6	0
13	9	7	0
13	9	8	180
-1	9	9	0
15	9	10	270
-1	9	11	0
-1	9	12	0
9	9	13	90
-1	9	14	0
-1	9	15	0
-1	8	0	0
-1	8	1	0
10	8	2	90
1	8	3	90
5	8	4	270
12	8	5	90
-1	8	6	0
9	8	7	270
-1	8	8	0
-1	8	9	0
-1	8	10	0
-1	8	11	0
10	8	12	180
8	8	13	0
15	8	14	90
-1	8	15	0
-1	7	0	0
-1	7	1	0
-1	7	2	0
13	7	3	0
8	7	4	270
14	7	5	90
-1	7	6	0
0	7	7	270
0	7	8	270
0	7	9	270
0	7	10	270
13	7	11	90
11	7	12	0
9	7	13	270
-1	7	14	0
-1	7	15	0
-1	6	0	0
-1	6	1	0
-1	6	2	0
-1	6	3	0
-1	6	4	0
4	6	5	90
-1	6	6	0
5	6	7	270
2	6	8	180
8	6	9	90
4	6	10	0
12	6	11	180
0	6	12	180
8	6	13	90
-1	6	14	0
-1	6	15	0
-1	5	0	0
-1	5	1	0
9	5	2	90
9	5	3	90
9	5	4	90
9	5	5	90
-1	5	6	0
-1	5	7	270
8	5	8	0
15	5	9	180
8	5	10	0
13	5	11	180
12	5	12	0
9	5	13	180
11	5	14	180
-1	5	15	0
-1	4	0	0
-1	4	1	0
12	4	2	90
7	4	3	0
7	4	4	90
12	4	5	270
-1	4	6	0
12	4	7	0
8	4	8	90
8	4	9	0
8	4	10	90
10	4	11	90
13	4	12	90
8	4	13	270
10	4	14	90
-1	4	15	0
-1	3	0	0
-1	3	1	0
13	3	2	0
-1	3	3	270
12	3	4	270
13	3	5	0
-1	3	6	0
12	3	7	180
8	3	8	0
-1	3	9	270
8	3	10	0
11	3	11	0
-1	3	12	0
-1	3	13	270
-1	3	14	90
-1	3	15	0
-1	2	0	0
-1	2	1	0
3	2	2	90
3	2	3	90
3	2	4	90
7	2	5	90
-1	2	6	0
-1	2	7	90
8	2	8	180
8	2	9	0
8	2	10	180
14	2	11	90
-1	2	12	0
8	2	13	270
-1	2	14	0
-1	2	15	0
-1	1	0	0
-1	1	1	0
7	1	2	180
12	1	3	270
9	1	4	180
15	1	5	180
-1	1	6	0
5	1	7	0
5	1	8	0
5	1	9	270
5	1	10	270
5	1	11	90
-1	1	12	0
-1	1	13	0
7	1	14	0
-1	1	15	0
-1	0	0	0
-1	0	1	0
-1	0	2	0
-1	0	3	0
-1	0	4	0
-1	0	5	0
-1	0	6	0
-1	0	7	0
-1	0	8	0
-1	0	9	0
-1	0	10	0
-1	0	11	0
-1	0	12	0
-1	0	13	0
-1	0	14	0
-1	0	15	0
16	16

