"shapeid","x","y","date","time of da","LOCATIONS","planning a","number of","X","Y","DateTime","time of _1","LOCATION_1"
"0","103.738080077","1.3420197473","2014-07-14","0:00:00","BLK 229","JURONG EAST","3","11548070.25","149406.6168","2014-07-14 00:00:00","NULL","NULL"
"1","103.741071287","1.34126651616","2014-07-14","0:00:00","BLK 239","JURONG EAST","1","11548403.23","149322.7445","2014-07-14 00:00:00","NULL","NULL"
"2","103.745983724","1.33932016064","2014-07-14","0:00:00","BLK 284","JURONG EAST","1","11548950.08","149106.0179","2014-07-14 00:00:00","NULL","NULL"
"3","103.747492534","1.32261708119","2014-07-14","0:00:00","CYCLE & CARRIAGE","JURONG EAST","1","11549118.04","147246.1378","2014-07-14 00:00:00","NULL","NULL"
"4","103.742263261","1.33320902467","2014-07-14","0:00:00","JURONG EAST MRT","JURONG EAST","1","11548535.92","148425.5443","2014-07-14 00:00:00","NULL","NULL"
"5","103.741492327","1.33328641244","2014-07-14","0:00:00","JURONG EAST TEMP INT","JURONG EAST","1","11548450.1","148434.1614","2014-07-14 00:00:00","NULL","NULL"
"6","103.736417654","1.32122939629","2014-07-14","0:00:00","OPP BLK 51","JURONG EAST","1","11547885.19","147091.6203","2014-07-14 00:00:00","NULL","NULL"
"7","103.734587517","1.34399747198","2014-07-14","0:00:00","PARC OASIS AVE1","JURONG EAST","1","11547681.46","149626.8366","2014-07-14 00:00:00","NULL","NULL"
"8","103.736417654","1.32122939629","2014-07-14","0:15:00","OPP BLK 51","JURONG EAST","1","11547885.19","147091.6203","2014-07-14 00:15:00","NULL","NULL"
"9","103.739583767","1.32227303096","2014-07-14","0:45:00","BEF HASANAH MQUE","JURONG EAST","1","11548237.64","147207.8281","2014-07-14 00:45:00","NULL","NULL"
"10","103.738540194","1.33450242777","2014-07-14","0:45:00","BLK 124","JURONG EAST","2","11548121.47","148569.5643","2014-07-14 00:45:00","NULL","NULL"
"11","103.739581161","1.33184700096","2014-07-14","0:45:00","OPP JURONG EAST LIB","JURONG EAST","1","11548237.35","148273.8835","2014-07-14 00:45:00","NULL","NULL"
"12","103.744203802","1.34046752635","2014-07-14","1:00:00","OPP BLK 288D","JURONG EAST","1","11548751.94","149233.777","2014-07-14 01:00:00","NULL","NULL"
"13","103.748007269","1.33512009352","2014-07-14","5:15:00","OPP IMM BLDG","JURONG EAST","1","11549175.34","148638.3412","2014-07-14 05:15:00","NULL","NULL"
"14","103.738540194","1.33450242777","2014-07-14","5:30:00","BLK 124","JURONG EAST","7","11548121.47","148569.5643","2014-07-14 05:30:00","NULL","NULL"
"15","103.741492327","1.33328641244","2014-07-14","5:30:00","JURONG EAST TEMP INT","JURONG EAST","3","11548450.1","148434.1614","2014-07-14 05:30:00","NULL","NULL"
"16","103.742772337","1.32959816777","2014-07-14","5:30:00","JURONG TOWN HALL","JURONG EAST","1","11548592.59","148023.477","2014-07-14 05:30:00","NULL","NULL"
"17","103.745560887","1.32503455858","2014-07-14","5:30:00","OPP GERMAN CTR","JURONG EAST","2","11548903.01","147515.322","2014-07-14 05:30:00","NULL","NULL"
"18","103.743402684","1.32124374486","2014-07-14","5:30:00","TEBAN GDN PO","JURONG EAST","1","11548662.76","147093.218","2014-07-14 05:30:00","NULL","NULL"
"19","103.739697403","1.336447722","2014-07-14","5:45:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","1","11548250.29","148786.1723","2014-07-14 05:45:00","NULL","NULL"
"20","103.738540194","1.33450242777","2014-07-14","5:45:00","BLK 124","JURONG EAST","3","11548121.47","148569.5643","2014-07-14 05:45:00","NULL","NULL"
"21","103.738665778","1.33833605997","2014-07-14","5:45:00","BLK 210","JURONG EAST","1","11548135.45","148996.4384","2014-07-14 05:45:00","NULL","NULL"
"22","103.738080077","1.3420197473","2014-07-14","5:45:00","BLK 229","JURONG EAST","5","11548070.25","149406.6168","2014-07-14 05:45:00","NULL","NULL"
"23","103.740474087","1.34145830331","2014-07-14","5:45:00","BLK 246","JURONG EAST","1","11548336.75","149344.1","2014-07-14 05:45:00","NULL","NULL"
"24","103.741492327","1.33328641244","2014-07-14","5:45:00","JURONG EAST TEMP INT","JURONG EAST","12","11548450.1","148434.1614","2014-07-14 05:45:00","NULL","NULL"
"25","103.744203802","1.34046752635","2014-07-14","5:45:00","OPP BLK 288D","JURONG EAST","1","11548751.94","149233.777","2014-07-14 05:45:00","NULL","NULL"
"26","103.748007269","1.33512009352","2014-07-14","5:45:00","OPP IMM BLDG","JURONG EAST","1","11549175.34","148638.3412","2014-07-14 05:45:00","NULL","NULL"
"27","103.739581161","1.33184700096","2014-07-14","5:45:00","OPP JURONG EAST LIB","JURONG EAST","1","11548237.35","148273.8835","2014-07-14 05:45:00","NULL","NULL"
"28","103.748179027","1.33069312468","2014-07-14","5:45:00","OPP THE SYNERGY","JURONG EAST","1","11549194.46","148145.3999","2014-07-14 05:45:00","NULL","NULL"
"29","103.734587517","1.34399747198","2014-07-14","5:45:00","PARC OASIS AVE1","JURONG EAST","1","11547681.46","149626.8366","2014-07-14 05:45:00","NULL","NULL"
"30","103.743402684","1.32124374486","2014-07-14","5:45:00","TEBAN GDN PO","JURONG EAST","2","11548662.76","147093.218","2014-07-14 05:45:00","NULL","NULL"
"31","103.751375592","1.32811788638","2014-07-14","6:00:00","AFT BOON LAY SUB STN","CLEMENTI","1","11549550.3","147858.6485","2014-07-14 06:00:00","NULL","NULL"
"32","103.752292682","1.33720546383","2014-07-14","6:00:00","ALLIANCE BLDG","CLEMENTI","3","11549652.39","148870.5467","2014-07-14 06:00:00","NULL","NULL"
"33","103.744240992","1.32403148754","2014-07-14","6:00:00","BEF JURONG TOWN HALL RD","JURONG EAST","1","11548756.08","147403.6308","2014-07-14 06:00:00","NULL","NULL"
"34","103.739697403","1.336447722","2014-07-14","6:00:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","9","11548250.29","148786.1723","2014-07-14 06:00:00","NULL","NULL"
"35","103.74613006","1.34498713929","2014-07-14","6:00:00","BLK 190","BUKIT BATOK","1","11548966.37","149737.0362","2014-07-14 06:00:00","NULL","NULL"
"36","103.741730381","1.33850750696","2014-07-14","6:00:00","BLK 207","JURONG EAST","2","11548476.6","149015.529","2014-07-14 06:00:00","NULL","NULL"
"37","103.740474087","1.34145830331","2014-07-14","6:00:00","BLK 246","JURONG EAST","1","11548336.75","149344.1","2014-07-14 06:00:00","NULL","NULL"
"38","103.737386937","1.34272521892","2014-07-14","6:00:00","BLK 252","JURONG EAST","1","11547993.09","149485.1711","2014-07-14 06:00:00","NULL","NULL"
"39","103.745983724","1.33932016064","2014-07-14","6:00:00","BLK 284","JURONG EAST","2","11548950.08","149106.0179","2014-07-14 06:00:00","NULL","NULL"
"40","103.739142873","1.33250994189","2014-07-14","6:00:00","JURONG EAST LIB","JURONG EAST","1","11548188.56","148347.7017","2014-07-14 06:00:00","NULL","NULL"
"41","103.741492327","1.33328641244","2014-07-14","6:00:00","JURONG EAST TEMP INT","JURONG EAST","16","11548450.1","148434.1614","2014-07-14 06:00:00","NULL","NULL"
"42","103.745560887","1.32503455858","2014-07-14","6:00:00","OPP GERMAN CTR","JURONG EAST","1","11548903.01","147515.322","2014-07-14 06:00:00","NULL","NULL"
"43","103.739581161","1.33184700096","2014-07-14","6:00:00","OPP JURONG EAST LIB","JURONG EAST","1","11548237.35","148273.8835","2014-07-14 06:00:00","NULL","NULL"
"44","103.743077854","1.32975887082","2014-07-14","6:00:00","OPP JURONG TOWN HALL","JURONG EAST","2","11548626.6","148041.3712","2014-07-14 06:00:00","NULL","NULL"
"45","103.748179027","1.33069312468","2014-07-14","6:00:00","OPP THE SYNERGY","JURONG EAST","2","11549194.46","148145.3999","2014-07-14 06:00:00","NULL","NULL"
"46","103.734587517","1.34399747198","2014-07-14","6:00:00","PARC OASIS AVE1","JURONG EAST","2","11547681.46","149626.8366","2014-07-14 06:00:00","NULL","NULL"
"47","103.754928788","1.33716866539","2014-07-14","6:00:00","TOH GUAN CTR","CLEMENTI","2","11549945.84","148866.4492","2014-07-14 06:00:00","NULL","NULL"
"48","103.751375592","1.32811788638","2014-07-14","6:15:00","AFT BOON LAY SUB STN","CLEMENTI","1","11549550.3","147858.6485","2014-07-14 06:15:00","NULL","NULL"
"49","103.739697403","1.336447722","2014-07-14","6:15:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","4","11548250.29","148786.1723","2014-07-14 06:15:00","NULL","NULL"
"50","103.736409929","1.34015354868","2014-07-14","6:15:00","BEF YUHUA CC","JURONG EAST","1","11547884.33","149198.8156","2014-07-14 06:15:00","NULL","NULL"
"51","103.738540194","1.33450242777","2014-07-14","6:15:00","BLK 124","JURONG EAST","4","11548121.47","148569.5643","2014-07-14 06:15:00","NULL","NULL"
"52","103.74613006","1.34498713929","2014-07-14","6:15:00","BLK 190","BUKIT BATOK","3","11548966.37","149737.0362","2014-07-14 06:15:00","NULL","NULL"
"53","103.742577762","1.33638853104","2014-07-14","6:15:00","BLK 203","CLEMENTI","2","11548570.93","148779.5814","2014-07-14 06:15:00","NULL","NULL"
"54","103.738665778","1.33833605997","2014-07-14","6:15:00","BLK 210","JURONG EAST","2","11548135.45","148996.4384","2014-07-14 06:15:00","NULL","NULL"
"55","103.738080077","1.3420197473","2014-07-14","6:15:00","BLK 229","JURONG EAST","5","11548070.25","149406.6168","2014-07-14 06:15:00","NULL","NULL"
"56","103.741071287","1.34126651616","2014-07-14","6:15:00","BLK 239","JURONG EAST","1","11548403.23","149322.7445","2014-07-14 06:15:00","NULL","NULL"
"57","103.732558043","1.34240175164","2014-07-14","6:15:00","CHINESE GARDEN MRT","JURONG EAST","1","11547455.54","149449.153","2014-07-14 06:15:00","NULL","NULL"
"58","103.745929645","1.32526198171","2014-07-14","6:15:00","GERMAN CTR","JURONG EAST","4","11548944.06","147540.6454","2014-07-14 06:15:00","NULL","NULL"
"59","103.742263261","1.33320902467","2014-07-14","6:15:00","JURONG EAST MRT","JURONG EAST","7","11548535.92","148425.5443","2014-07-14 06:15:00","NULL","NULL"
"60","103.739142873","1.33250994189","2014-07-14","6:15:00","JURONG EAST LIB","JURONG EAST","1","11548188.56","148347.7017","2014-07-14 06:15:00","NULL","NULL"
"61","103.741492327","1.33328641244","2014-07-14","6:15:00","JURONG EAST TEMP INT","JURONG EAST","19","11548450.1","148434.1614","2014-07-14 06:15:00","NULL","NULL"
"62","103.742772337","1.32959816777","2014-07-14","6:15:00","JURONG TOWN HALL","JURONG EAST","1","11548592.59","148023.477","2014-07-14 06:15:00","NULL","NULL"
"63","103.745560887","1.32503455858","2014-07-14","6:15:00","OPP GERMAN CTR","JURONG EAST","3","11548903.01","147515.322","2014-07-14 06:15:00","NULL","NULL"
"64","103.739581161","1.33184700096","2014-07-14","6:15:00","OPP JURONG EAST LIB","JURONG EAST","2","11548237.35","148273.8835","2014-07-14 06:15:00","NULL","NULL"
"65","103.743077854","1.32975887082","2014-07-14","6:15:00","OPP JURONG TOWN HALL","JURONG EAST","1","11548626.6","148041.3712","2014-07-14 06:15:00","NULL","NULL"
"66","103.748179027","1.33069312468","2014-07-14","6:15:00","OPP THE SYNERGY","JURONG EAST","3","11549194.46","148145.3999","2014-07-14 06:15:00","NULL","NULL"
"67","103.734587517","1.34399747198","2014-07-14","6:15:00","PARC OASIS AVE1","JURONG EAST","1","11547681.46","149626.8366","2014-07-14 06:15:00","NULL","NULL"
"68","103.754928788","1.33716866539","2014-07-14","6:15:00","TOH GUAN CTR","CLEMENTI","1","11549945.84","148866.4492","2014-07-14 06:15:00","NULL","NULL"
"69","103.751375592","1.32811788638","2014-07-14","6:30:00","AFT BOON LAY SUB STN","CLEMENTI","2","11549550.3","147858.6485","2014-07-14 06:30:00","NULL","NULL"
"70","103.752292682","1.33720546383","2014-07-14","6:30:00","ALLIANCE BLDG","CLEMENTI","2","11549652.39","148870.5467","2014-07-14 06:30:00","NULL","NULL"
"71","103.739583767","1.32227303096","2014-07-14","6:30:00","BEF HASANAH MQUE","JURONG EAST","1","11548237.64","147207.8281","2014-07-14 06:30:00","NULL","NULL"
"72","103.745779447","1.32145767025","2014-07-14","6:30:00","BEF PANDAN GDNS","JURONG EAST","1","11548927.34","147117.0384","2014-07-14 06:30:00","NULL","NULL"
"73","103.739697403","1.336447722","2014-07-14","6:30:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","9","11548250.29","148786.1723","2014-07-14 06:30:00","NULL","NULL"
"74","103.74576193","1.33265667254","2014-07-14","6:30:00","BEF TOH GUAN RD","JURONG EAST","1","11548925.39","148364.0401","2014-07-14 06:30:00","NULL","NULL"
"75","103.738540194","1.33450242777","2014-07-14","6:30:00","BLK 124","JURONG EAST","19","11548121.47","148569.5643","2014-07-14 06:30:00","NULL","NULL"
"76","103.73886754","1.33458100275","2014-07-14","6:30:00","BLK 134","JURONG EAST","7","11548157.91","148578.3136","2014-07-14 06:30:00","NULL","NULL"
"77","103.742577762","1.33638853104","2014-07-14","6:30:00","BLK 203","CLEMENTI","2","11548570.93","148779.5814","2014-07-14 06:30:00","NULL","NULL"
"78","103.741730381","1.33850750696","2014-07-14","6:30:00","BLK 207","JURONG EAST","1","11548476.6","149015.529","2014-07-14 06:30:00","NULL","NULL"
"79","103.738080077","1.3420197473","2014-07-14","6:30:00","BLK 229","JURONG EAST","6","11548070.25","149406.6168","2014-07-14 06:30:00","NULL","NULL"
"80","103.741071287","1.34126651616","2014-07-14","6:30:00","BLK 239","JURONG EAST","6","11548403.23","149322.7445","2014-07-14 06:30:00","NULL","NULL"
"81","103.743615945","1.34160223504","2014-07-14","6:30:00","BLK 241","JURONG EAST","1","11548686.5","149360.1268","2014-07-14 06:30:00","NULL","NULL"
"82","103.740474087","1.34145830331","2014-07-14","6:30:00","BLK 246","JURONG EAST","2","11548336.75","149344.1","2014-07-14 06:30:00","NULL","NULL"
"83","103.745983724","1.33932016064","2014-07-14","6:30:00","BLK 284","JURONG EAST","1","11548950.08","149106.0179","2014-07-14 06:30:00","NULL","NULL"
"84","103.732558043","1.34240175164","2014-07-14","6:30:00","CHINESE GARDEN MRT","JURONG EAST","1","11547455.54","149449.153","2014-07-14 06:30:00","NULL","NULL"
"85","103.745929645","1.32526198171","2014-07-14","6:30:00","GERMAN CTR","JURONG EAST","1","11548944.06","147540.6454","2014-07-14 06:30:00","NULL","NULL"
"86","103.742263261","1.33320902467","2014-07-14","6:30:00","JURONG EAST MRT","JURONG EAST","7","11548535.92","148425.5443","2014-07-14 06:30:00","NULL","NULL"
"87","103.741492327","1.33328641244","2014-07-14","6:30:00","JURONG EAST TEMP INT","JURONG EAST","46","11548450.1","148434.1614","2014-07-14 06:30:00","NULL","NULL"
"88","103.742772337","1.32959816777","2014-07-14","6:30:00","JURONG TOWN HALL","JURONG EAST","2","11548592.59","148023.477","2014-07-14 06:30:00","NULL","NULL"
"89","103.748007269","1.33512009352","2014-07-14","6:30:00","OPP IMM BLDG","JURONG EAST","2","11549175.34","148638.3412","2014-07-14 06:30:00","NULL","NULL"
"90","103.74490341","1.32752877314","2014-07-14","6:30:00","OPP INTL BUSINESS PK","JURONG EAST","2","11548829.82","147793.0511","2014-07-14 06:30:00","NULL","NULL"
"91","103.739581161","1.33184700096","2014-07-14","6:30:00","OPP JURONG EAST LIB","JURONG EAST","1","11548237.35","148273.8835","2014-07-14 06:30:00","NULL","NULL"
"92","103.748179027","1.33069312468","2014-07-14","6:30:00","OPP THE SYNERGY","JURONG EAST","1","11549194.46","148145.3999","2014-07-14 06:30:00","NULL","NULL"
"93","103.734587517","1.34399747198","2014-07-14","6:30:00","PARC OASIS AVE1","JURONG EAST","3","11547681.46","149626.8366","2014-07-14 06:30:00","NULL","NULL"
"94","103.754928788","1.33716866539","2014-07-14","6:30:00","TOH GUAN CTR","CLEMENTI","1","11549945.84","148866.4492","2014-07-14 06:30:00","NULL","NULL"
"95","103.751375592","1.32811788638","2014-07-14","6:45:00","AFT BOON LAY SUB STN","CLEMENTI","1","11549550.3","147858.6485","2014-07-14 06:45:00","NULL","NULL"
"96","103.739462494","1.32251911457","2014-07-14","6:45:00","AFT HASANAH MQUE","JURONG EAST","1","11548224.14","147235.2293","2014-07-14 06:45:00","NULL","NULL"
"97","103.742913911","1.32388383855","2014-07-14","6:45:00","AFT JURONG TOWN HALL RD","JURONG EAST","1","11548608.35","147387.1902","2014-07-14 06:45:00","NULL","NULL"
"98","103.752292682","1.33720546383","2014-07-14","6:45:00","ALLIANCE BLDG","CLEMENTI","2","11549652.39","148870.5467","2014-07-14 06:45:00","NULL","NULL"
"99","103.739583767","1.32227303096","2014-07-14","6:45:00","BEF HASANAH MQUE","JURONG EAST","1","11548237.64","147207.8281","2014-07-14 06:45:00","NULL","NULL"
"100","103.744240992","1.32403148754","2014-07-14","6:45:00","BEF JURONG TOWN HALL RD","JURONG EAST","2","11548756.08","147403.6308","2014-07-14 06:45:00","NULL","NULL"
"101","103.745779447","1.32145767025","2014-07-14","6:45:00","BEF PANDAN GDNS","JURONG EAST","3","11548927.34","147117.0384","2014-07-14 06:45:00","NULL","NULL"
"102","103.739697403","1.336447722","2014-07-14","6:45:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","18","11548250.29","148786.1723","2014-07-14 06:45:00","NULL","NULL"
"103","103.734273016","1.33955998749","2014-07-14","6:45:00","BLK 114","JURONG EAST","2","11547646.45","149132.7226","2014-07-14 06:45:00","NULL","NULL"
"104","103.738540194","1.33450242777","2014-07-14","6:45:00","BLK 124","JURONG EAST","12","11548121.47","148569.5643","2014-07-14 06:45:00","NULL","NULL"
"105","103.73886754","1.33458100275","2014-07-14","6:45:00","BLK 134","JURONG EAST","6","11548157.91","148578.3136","2014-07-14 06:45:00","NULL","NULL"
"106","103.74613006","1.34498713929","2014-07-14","6:45:00","BLK 190","BUKIT BATOK","1","11548966.37","149737.0362","2014-07-14 06:45:00","NULL","NULL"
"107","103.742577762","1.33638853104","2014-07-14","6:45:00","BLK 203","CLEMENTI","5","11548570.93","148779.5814","2014-07-14 06:45:00","NULL","NULL"
"108","103.742577762","1.33638853104","2014-07-14","6:45:00","BLK 203","JURONG EAST","3","11548570.93","148779.5814","2014-07-14 06:45:00","NULL","NULL"
"109","103.741730381","1.33850750696","2014-07-14","6:45:00","BLK 207","JURONG EAST","1","11548476.6","149015.529","2014-07-14 06:45:00","NULL","NULL"
"110","103.74106958","1.33826347973","2014-07-14","6:45:00","BLK 209","JURONG EAST","5","11548403.04","148988.3566","2014-07-14 06:45:00","NULL","NULL"
"111","103.738080077","1.3420197473","2014-07-14","6:45:00","BLK 229","JURONG EAST","2","11548070.25","149406.6168","2014-07-14 06:45:00","NULL","NULL"
"112","103.741071287","1.34126651616","2014-07-14","6:45:00","BLK 239","JURONG EAST","14","11548403.23","149322.7445","2014-07-14 06:45:00","NULL","NULL"
"113","103.743615945","1.34160223504","2014-07-14","6:45:00","BLK 241","JURONG EAST","3","11548686.5","149360.1268","2014-07-14 06:45:00","NULL","NULL"
"114","103.740474087","1.34145830331","2014-07-14","6:45:00","BLK 246","JURONG EAST","5","11548336.75","149344.1","2014-07-14 06:45:00","NULL","NULL"
"115","103.737386937","1.34272521892","2014-07-14","6:45:00","BLK 252","JURONG EAST","1","11547993.09","149485.1711","2014-07-14 06:45:00","NULL","NULL"
"116","103.744201916","1.34192572667","2014-07-14","6:45:00","BLK 266","JURONG EAST","1","11548751.73","149396.1476","2014-07-14 06:45:00","NULL","NULL"
"117","103.745983724","1.33932016064","2014-07-14","6:45:00","BLK 284","JURONG EAST","2","11548950.08","149106.0179","2014-07-14 06:45:00","NULL","NULL"
"118","103.732647515","1.34252238293","2014-07-14","6:45:00","CHINESE GDN STN","JURONG EAST","1","11547465.5","149462.5853","2014-07-14 06:45:00","NULL","NULL"
"119","103.742263261","1.33320902467","2014-07-14","6:45:00","JURONG EAST MRT","JURONG EAST","13","11548535.92","148425.5443","2014-07-14 06:45:00","NULL","NULL"
"120","103.739142873","1.33250994189","2014-07-14","6:45:00","JURONG EAST LIB","JURONG EAST","6","11548188.56","148347.7017","2014-07-14 06:45:00","NULL","NULL"
"121","103.741492327","1.33328641244","2014-07-14","6:45:00","JURONG EAST TEMP INT","JURONG EAST","55","11548450.1","148434.1614","2014-07-14 06:45:00","NULL","NULL"
"122","103.744203802","1.34046752635","2014-07-14","6:45:00","OPP BLK 288D","JURONG EAST","2","11548751.94","149233.777","2014-07-14 06:45:00","NULL","NULL"
"123","103.736417654","1.32122939629","2014-07-14","6:45:00","OPP BLK 51","JURONG EAST","2","11547885.19","147091.6203","2014-07-14 06:45:00","NULL","NULL"
"124","103.745560887","1.32503455858","2014-07-14","6:45:00","OPP GERMAN CTR","JURONG EAST","1","11548903.01","147515.322","2014-07-14 06:45:00","NULL","NULL"
"125","103.748007269","1.33512009352","2014-07-14","6:45:00","OPP IMM BLDG","JURONG EAST","4","11549175.34","148638.3412","2014-07-14 06:45:00","NULL","NULL"
"126","103.74490341","1.32752877314","2014-07-14","6:45:00","OPP INTL BUSINESS PK","JURONG EAST","1","11548829.82","147793.0511","2014-07-14 06:45:00","NULL","NULL"
"127","103.739581161","1.33184700096","2014-07-14","6:45:00","OPP JURONG EAST LIB","JURONG EAST","2","11548237.35","148273.8835","2014-07-14 06:45:00","NULL","NULL"
"128","103.749408192","1.33665654413","2014-07-14","6:45:00","OPP JURONG EAST WAREHSE","CLEMENTI","2","11549331.29","148809.4246","2014-07-14 06:45:00","NULL","NULL"
"129","103.743077854","1.32975887082","2014-07-14","6:45:00","OPP JURONG TOWN HALL","JURONG EAST","2","11548626.6","148041.3712","2014-07-14 06:45:00","NULL","NULL"
"130","103.737037492","1.33412397676","2014-07-14","6:45:00","OPP S'PORE SCIENCE CTR","JURONG EAST","1","11547954.19","148527.4239","2014-07-14 06:45:00","NULL","NULL"
"131","103.748179027","1.33069312468","2014-07-14","6:45:00","OPP THE SYNERGY","JURONG EAST","5","11549194.46","148145.3999","2014-07-14 06:45:00","NULL","NULL"
"132","103.734587517","1.34399747198","2014-07-14","6:45:00","PARC OASIS AVE1","JURONG EAST","4","11547681.46","149626.8366","2014-07-14 06:45:00","NULL","NULL"
"133","103.743402684","1.32124374486","2014-07-14","6:45:00","TEBAN GDN PO","JURONG EAST","1","11548662.76","147093.218","2014-07-14 06:45:00","NULL","NULL"
"134","103.754928788","1.33716866539","2014-07-14","6:45:00","TOH GUAN CTR","CLEMENTI","3","11549945.84","148866.4492","2014-07-14 06:45:00","NULL","NULL"
"135","103.751375592","1.32811788638","2014-07-14","7:00:00","AFT BOON LAY SUB STN","CLEMENTI","1","11549550.3","147858.6485","2014-07-14 07:00:00","NULL","NULL"
"136","103.745779447","1.32145767025","2014-07-14","7:00:00","BEF PANDAN GDNS","JURONG EAST","2","11548927.34","147117.0384","2014-07-14 07:00:00","NULL","NULL"
"137","103.739697403","1.336447722","2014-07-14","7:00:00","BEF SEVENTH-DAY ADVENT CH","JURONG EAST","18","11548250.29","148786.1723","2014-07-14 07:00:00","NULL","NULL"
"138","103.738540194","1.33450242777","2014-07-14","7:00:00","BLK 124","JURONG EAST","32","11548121.47","148569.5643","2014-07-14 07:00:00","NULL","NULL"
"139","103.73886754","1.33458100275","2014-07-14","7:00:00","BLK 134","JURONG EAST","4","11548157.91","148578.3136","2014-07-14 07:00:00","NULL","NULL"
"140","103.74613006","1.34498713929","2014-07-14","7:00:00","BLK 190","BUKIT BATOK","1","11548966.37","149737.0362","2014-07-14 07:00:00","NULL","NULL"
"141","103.742577762","1.33638853104","2014-07-14","7:00:00","BLK 203","CLEMENTI","20","11548570.93","148779.5814","2014-07-14 07:00:00","NULL","NULL"
"142","103.741730381","1.33850750696","2014-07-14","7:00:00","BLK 207","JURONG EAST","1","11548476.6","149015.529","2014-07-14 07:00:00","NULL","NULL"
"143","103.74106958","1.33826347973","2014-07-14","7:00:00","BLK 209","JURONG EAST","2","11548403.04","148988.3566","2014-07-14 07:00:00","NULL","NULL"
"144","103.738665778","1.33833605997","2014-07-14","7:00:00","BLK 210","JURONG EAST","1","11548135.45","148996.4384","2014-07-14 07:00:00","NULL","NULL"
"145","103.735971012","1.34220937633","2014-07-14","7:00:00","BLK 228","JURONG EAST","1","11547835.47","149427.732","2014-07-14 07:00:00","NULL","NULL"
"146","103.738080077","1.3420197473","2014-07-14","7:00:00","BLK 229","JURONG EAST","4","11548070.25","149406.6168","2014-07-14 07:00:00","NULL","NULL"
"147","103.741071287","1.34126651616","2014-07-14","7:00:00","BLK 239","JURONG EAST","8","11548403.23","149322.7445","2014-07-14 07:00:00","NULL","NULL"
"148","103.743615945","1.34160223504","2014-07-14","7:00:00","BLK 241","JURONG EAST","4","11548686.5","149360.1268","2014-07-14 07:00:00","NULL","NULL"
"149","103.740474087","1.34145830331","2014-07-14","7:00:00","BLK 246","JURONG EAST","10","11548336.75","149344.1","2014-07-14 07:00:00","NULL","NULL"
"150","103.737386937","1.34272521892","2014-07-14","7:00:00","BLK 252","JURONG EAST","1","11547993.09","149485.1711","2014-07-14 07:00:00","NULL","NULL"
"151","103.745983724","1.33932016064","2014-07-14","7:00:00","BLK 284","JURONG EAST","2","11548950.08","149106.0179","2014-07-14 07:00:00","NULL","NULL"
"152","103.746011392","1.33905284743","2014-07-14","7:00:00","BLK 286A","JURONG EAST","2","11548953.16","149076.2526","2014-07-14 07:00:00","NULL","NULL"
"153","103.743989913","1.34039218102","2014-07-14","7:00:00","BLK 288E","JURONG EAST","1","11548728.13","149225.3873","2014-07-14 07:00:00","NULL","NULL"
"154","103.741738286","1.32180773232","2014-07-14","7:00:00","BLK 41","JURONG EAST","2","11548477.48","147156.0175","2014-07-14 07:00:00","NULL","NULL"
"155","103.732558043","1.34240175164","2014-07-14","7:00:00","CHINESE GARDEN MRT","JURONG EAST","1","11547455.54","149449.153","2014-07-14 07:00:00","NULL","NULL"
"156","103.732647515","1.34252238293","2014-07-14","7:00:00","CHINESE GDN STN","JURONG EAST","1","11547465.5","149462.5853","2014-07-14 07:00:00","NULL","NULL"
"157","103.745929645","1.32526198171","2014-07-14","7:00:00","GERMAN CTR","JURONG EAST","2","11548944.06","147540.6454","2014-07-14 07:00:00","NULL","NULL"
"158","103.742263261","1.33320902467","2014-07-14","7:00:00","JURONG EAST MRT","JURONG EAST","21","11548535.92","148425.5443","2014-07-14 07:00:00","NULL","NULL"
"159","103.739142873","1.33250994189","2014-07-14","7:00:00","JURONG EAST LIB","JURONG EAST","2","11548188.56","148347.7017","2014-07-14 07:00:00","NULL","NULL"
"160","103.741492327","1.33328641244","2014-07-14","7:00:00","JURONG EAST TEMP INT","JURONG EAST","52","11548450.1","148434.1614","2014-07-14 07:00:00","NULL","NULL"
"161","103.742772337","1.32959816777","2014-07-14","7:00:00","JURONG TOWN HALL","JURONG EAST","3","11548592.59","148023.477","2014-07-14 07:00:00","NULL","NULL"
"162","103.745560887","1.32503455858","2014-07-14","7:00:00","OPP GERMAN CTR","JURONG EAST","7","11548903.01","147515.322","2014-07-14 07:00:00","NULL","NULL"
"163","103.748007269","1.33512009352","2014-07-14","7:00:00","OPP IMM BLDG","JURONG EAST","1","11549175.34","148638.3412","2014-07-14 07:00:00","NULL","NULL"
"164","103.74490341","1.32752877314","2014-07-14","7:00:00","OPP INTL BUSINESS PK","JURONG EAST","4","11548829.82","147793.0511","2014-07-14 07:00:00","NULL","NULL"
"165","103.739581161","1.33184700096","2014-07-14","7:00:00","OPP JURONG EAST LIB","JURONG EAST","3","11548237.35","148273.8835","2014-07-14 07:00:00","NULL","NULL"
"166","103.749408192","1.33665654413","2014-07-14","7:00:00","OPP JURONG EAST WAREHSE","CLEMENTI","1","11549331.29","148809.4246","2014-07-14 07:00:00","NULL","NULL"
